"email","company","city","title","category","published_at","detail_url","employer_website","refnr","source"
"marzahn.bau@perzukunft.de","PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG","Berlin","Maurer m/w/d - Neubau - Ab 20,85€ *","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/12016-10004679870-S","","12016-10004679870-S","arbeitsagentur"
"karriere@loerrach-landkreis.de","Landratsamt Lörrach","Lörrach","Bauingenieur/-in bzw. Techniker/-in Hochbau (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003244241-S","","10001-1003244241-S","arbeitsagentur"
"info@lotz-bauen.de","A. Lotz Hoch- und Tiefbau GmbH","Nidderau, Hessen","Ausbildung zum Maurer (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003243993-S","","10001-1003243993-S","arbeitsagentur"
"karriere@guetersloh.de","Stadt Gütersloh Der Bürgermeister Gebietskörperschaft","Gütersloh","Architekt*in / Bauingenieur*in (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/18665-7vryg380ez-S","","18665-7vryg380ez-S","arbeitsagentur"
"jobs@dachdeckerei-marquardt.de","Dachdeckerei Dirk Marquardt","Quickborn, Kreis Pinneberg","Dachdeckergeselle [m/w/d] gesucht!","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206872113-S","","10000-1206872113-S","arbeitsagentur"
"bewerbung@kasiglas.de","MOMENTUM Akademie GmbH","Geesthacht","Handwerker Maurer / Zimmermann / Tischler (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003242154-S","","10001-1003242154-S","arbeitsagentur"
"bewerbung@bohle-gruppe.com","Ernst Bohle GmbH","Berlin","Servicetechniker (m/w/d) Brand- und Wasserschadensanierung","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003242084-S","","10001-1003242084-S","arbeitsagentur"
"neclasoenmez23@gmail.com","KO Projektbau","Bonn","Beton- und Stahlbetonbauer (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003241995-S","","10001-1003241995-S","arbeitsagentur"
"sowa@sowa-bedachungen.de","Herbert Sowa Bedachungs-GmbH","Paderborn","Dachdecker (m/w/d) oder Dachdeckerhelfer (m/w/d) gesucht","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206865887-S","","10000-1206865887-S","arbeitsagentur"
"bewerbung@ke-mitteldeutschland.de","KEM Kommunalentwicklung Mitteldeutschland GmbH","Dresden","BeraterIn/IngenieurIn Projektsteuerung (m/w/d)","Bau, Ausbau & Gebäudetechnik","2026-06-17","https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003241518-S","","10001-1003241518-S","arbeitsagentur"
