"agency_name","address","city","email","phone_number","website"
"Bundrock GmbH Tief- und Straßenbau","Alfred-Nobel-Str. 51, (Gewerbegebiet Ost)","Grevenbroich","info@bundrock.de","02181 2 12 93 20","https://www.bundrock.de"
"Mesut Kurt MK Bauunternehmen","Kuchenheimer Str. 94","Euskirchen","info@k-bausanierung.de","0172 9 55 48 00","https://bauunternehmen-kurt.de"
"Lemmer GmbH Bauunternehmung","Erpfenzell 24, (Erpfenzell)","Falkenstein","info@lemmer-bau.de","09462 94 02-0","http://www.lemmer-bau.de"
"Bangert Bau GmbH","Elsterbuscher Weg 12, (Höhscheid)","Solingen","info@bangert-bau.de","0212 81 28 50","https://www.bangert-bau.de"
"Hans Schwarz OHG","Denkmalstr. 33 -35","Windsbach","info@baustoffschwarz.de","09871 6 72 40","https://www.baustoffschwarz.de/"
"SWISSBAUEN GMBH","Röntgenstr. 5, (Bergen-Enkheim)","Frankfurt","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Meisterbetrieb Thomas Kettelhut - Maurer- und Estricharbeiten","Salmbacher Str. 72, (Buckow)","Berlin","meister-kettelhut@web.de","030 74 10 30 15","https://www.meister-kettelhut.de"
"Bauunternehmung Kratz GmbH","Steinweg 8","Bonn","info@kratzbau.com","0228 9 62 18 00","http://www.kratzbau.com"
"Völter Torsten","Zeppelinstr. 26, (Fredersdorf-Nord)","Fredersdorf-Vogelsdorf","voelter@t-online.de","033439 7 62 05","http://www.bauhandwerk-voelter.de"
"Börsch GmbH & Co. Bauausführungen KG","Holzstr. 22, (Gesundbrunnen)","Berlin","boersch@boersch-bauausfuehrungen.de","030 4 99 89 90","http://www.boersch-bauausfuehrungen.de"
"Orf","Giebel 33, (Vohwinkel)","Wuppertal","info@orfbau.de","0202 43 67 39","http://www.orfbau.de"
"SBH Hoch- und Ausbau GmbH","Max-Jehn-Str. 22","Gößnitz","info@sbh-ausbau.de","034493 72 72 70","http://www.sbh-ausbau.de"
"AK Bauservice GmbH","Panoramastr. 43","Böblingen","info@ak-bauservice.de","07031 8 19 63 70","http://www.ak-bauservice.com"
"Alois Höller GmbH","Städter Weg 8","Friedberg (Hessen)","info@hoeller-bau.de","06031 69 00 90","http://www.hoeller-bau.de"
"Baugeschäft Frommwieser GmbH","Burgersdorf 1, (Burgersdorf)","Rimsting","info@frommwieser.com","08051 9 65 91 10","http://www.frommwieser.com"
"Baugesellschaft Frahm GmbH","Pappelstr. 35, (Nord)","Eggersdorf","info@frahm-bau.de","03341 31 18 00","http://www.frahm-bau.de"
"Dedi Bau GmbH","Pettensiedeler Str. 15, (Eschenau)","Eckental","info@dedibau.de","09126 2 89 90 30","https://dedibau.de/"
"Eddie Bässler Bauunternehmen GmbH","Rainwiesen 17, (Neckargröningen)","Remseck","dino.di.carlo@intermenue.de","07141 2 98 76 69","https://www.baessler-bauunternehmen.de"
"Franz Nolde GmbH Bauunternehmen","Zweckeler Str. 22, (Scholven)","Gelsenkirchen","info@noldebau.de","0209 31 81 50","https://www.noldebau.de/"
"Geitner Bau GmbH","Ludwigskanalstr. 35, (Unterölsbach)","Berg","info@geitner-bau.de","09189 4 12 02 91","https://geitner-bau.de/"
"Guggenberger GmbH","Mintrachinger Str. 5, (Mangolding)","Mintraching","info@guggenberger-bau.de","09406 28-0","https://www.guggenberger-bau.de/"
"Hachinger Bau GmbH","Münchner Str. 70","Unterhaching","hb@hachingerbau.de","089 67 35 95 30","https://www.hachingerbau.de"
"Hierl Bauunternehmen GmbH","Hauptstr. 3, (Günching)","Velburg","hierlbau@t-online.de","09184 8 00 23","http://www.hierlbau.de"
