"agency_name","address","city","email","phone_number","website"
"Bundrock GmbH Tief- und Straßenbau","Alfred-Nobel-Str. 51, (Gewerbegebiet Ost)","Grevenbroich","","02181 2 12 93 20","https://www.bundrock.de"
"Mesut Kurt MK Bauunternehmen","Kuchenheimer Str. 94","Euskirchen","","0172 9 55 48 00","https://bauunternehmen-kurt.de"
"Lemmer GmbH Bauunternehmung","Erpfenzell 24, (Erpfenzell)","Falkenstein","info@lemmer-bau.de","09462 94 02-0","http://www.lemmer-bau.de"
"Bangert Bau GmbH","Elsterbuscher Weg 12, (Höhscheid)","Solingen","","0212 81 28 50","https://www.bangert-bau.de"
"Hans Schwarz OHG","Denkmalstr. 33 -35","Windsbach","info@baustoffschwarz.de","09871 6 72 40","https://www.baustoffschwarz.de/"
"SWISSBAUEN GMBH","Röntgenstr. 5, (Bergen-Enkheim)","Frankfurt","","0171 7 87 05 00","http://www.swissbauen.de"
"Meisterbetrieb Thomas Kettelhut - Maurer- und Estricharbeiten","Salmbacher Str. 72, (Buckow)","Berlin","meister-kettelhut@web.de","030 74 10 30 15","https://www.meister-kettelhut.de"
"Bauunternehmung Kratz GmbH","Steinweg 8","Bonn","","0228 9 62 18 00","http://www.kratzbau.com"
"Völter Torsten","Zeppelinstr. 26, (Fredersdorf-Nord)","Fredersdorf-Vogelsdorf","","033439 7 62 05","http://www.bauhandwerk-voelter.de"
"Börsch GmbH & Co. Bauausführungen KG","Holzstr. 22, (Gesundbrunnen)","Berlin","boersch@boersch-bauausfuehrungen.de","030 4 99 89 90","http://www.boersch-bauausfuehrungen.de"
"HB Abbruch, Erd- und Wegebau Fank Schmidt","Dorfstr. 60b, (Trampe)","Breydin","","033451 55 79 79",""
"Orf","Giebel 33, (Vohwinkel)","Wuppertal","info@orfbau.de","0202 43 67 39","http://www.orfbau.de"
"Marcus Wüstemann","Hainleitestr. 13, (Berka)","Sondershausen","","03632 70 01 18","https://www.galabau-wuestemann.de/"
"SBH Hoch- und Ausbau GmbH","Max-Jehn-Str. 22","Gößnitz","","034493 72 72 70","http://www.sbh-ausbau.de"
"AK Bauservice GmbH","Panoramastr. 43","Böblingen","","07031 8 19 63 70","http://www.ak-bauservice.com"
"Alois Höller GmbH","Städter Weg 8","Friedberg (Hessen)","","06031 69 00 90","http://www.hoeller-bau.de"
"Baugeschäft Frommwieser GmbH","Burgersdorf 1, (Burgersdorf)","Rimsting","","08051 9 65 91 10","http://www.frommwieser.com"
"Baugesellschaft Frahm GmbH","Pappelstr. 35, (Nord)","Eggersdorf","","03341 31 18 00","http://www.frahm-bau.de"
"Bauunternehmung Stephan Dunker GmbH","Elisabethstr. 18B, (Frillendorf)","Essen","","0201 48 33 30","https://www.bauunternehmung-dunker.de"
"Dedi Bau GmbH","Pettensiedeler Str. 15, (Eschenau)","Eckental","info@dedibau.de","09126 2 89 90 30","https://dedibau.de/"
"e. Puschner Bauunternehmen GmbH","Untere Stefanstr. 76","Budenheim","","06139 30 71 95","http://www.puschner-bau.de"
"Eddie Bässler Bauunternehmen GmbH","Rainwiesen 17, (Neckargröningen)","Remseck","","07141 2 98 76 69","https://www.baessler-bauunternehmen.de"
"Franz Nolde GmbH Bauunternehmen","Zweckeler Str. 22, (Scholven)","Gelsenkirchen","","0209 31 81 50","https://www.noldebau.de/"
"Geitner Bau GmbH","Ludwigskanalstr. 35, (Unterölsbach)","Berg","info@geitner-bau.de","09189 4 12 02 91","https://geitner-bau.de/"
"Guggenberger GmbH","Mintrachinger Str. 5, (Mangolding)","Mintraching","info@guggenberger-bau.de","09406 28-0","https://www.guggenberger-bau.de/"
"Hachinger Bau GmbH","Münchner Str. 70","Unterhaching","","089 67 35 95 30","https://www.hachingerbau.de"
"Hierl Bauunternehmen GmbH","Hauptstr. 3, (Günching)","Velburg","hierlbau@t-online.de","09184 8 00 23","http://www.hierlbau.de"
"Meiser Bauarbeiten GmbH & Co. KG","Kölner Str. 1","Rüsselsheim am Main","","06144 4 08 97 38","http://www.meiser-bauarbeiten.de"
"Rappel Bau GmbH","Römerstr. 18","Mötzing","info@rappel-bau.com","09480 93 87 70","http://www.rappel-bau.com"
"Reiner Schädler Bauunternehmung GmbH","Pappelweg 14, (Unterhausen)","Lichtenstein","","07129 6 02 66","https://www.schaedler-bau.de"
"Richard Wacker GmbH, Bauuntern.","Brunnenstr. 28, (Biberach)","Heilbronn","","07066 9 55 20","http://www.wacker-bauunternehmung.de"
"Schäfer & Geis GmbH","Siemensstr. 7, (Lengfurt)","Triefenstein","info@schaefer-geis.de","09395 87 82 57","https://www.schaefer-geis.de"
"Striebel Baugeschäft","Schillerstr. 19","Laichingen","","07333 30 71","https://striebel-bau.de/"
"Swissbauen GmbH Bauunternehmen","Obenhauptstr. 7, (Groß Borstel)","Hamburg","","0171 7 87 05 00","http://www.swissbauen.de"
"Wendt Grundbau GmbH","Wildmeisterdamm 253, (Buckow)","Berlin","info@wendt-grundbau.de","030 6 09 70 80","https://www.wendt-grundbau.de"
"WILHELM WEIDLER GmbH & Co. KG Bauunternehmung I Tiefbau I Straßenbau I Wasserbau I Erdbau","Haubersbronner Str. 74","Urbach","","07181 9 87 00","http://www.wilhelm-weidler.de/"
"Zarges Bau GmbH","Friedrich-Engels-Allee 163, (Barmen)","Wuppertal","max.zarges@zarges-bau.de","0202 2 81 08-0","https://www.zarges-bau.de"
"Andreas Wittmann GmbH & Co. KG","Löffelholzstr. 8, (Südliche Außenstadt)","Nürnberg","","0911 94 17 65","http://www.wittmann-bau.de"
"Helmut Kautschur Immobilien & Bauträger GmbH","Kerpener Str. 60","Kerpen","","02273 5 24 53","http://www.kautschur.de"
"HuT Oderbau GmbH","Münchehofer Weg 48","Müncheberg","","033432 9 19 25","http://www.hut-oderbau.de"
"Kramke Baugesellschaft mbH","Konrad-Zuse-Ring 13, (Nauener Vorstadt)","Potsdam","info@kramke-baugruppe.de","0331 5 05 83 60","http://www.kramke-hallensysteme.de"
"Schleiff Bauflächentechnik GmbH & Co. KG","Brüsseler Allee 15","Erkelenz","","02431 96 41-0","http://www.schleiff.de"
"Step to Home oHG","In der Wüste 31, (Lützenkirchen)","Leverkusen","","02171 3 62 62 48","http://www.step-to-home.de"
"ANES Bauausführungen Berlin GmbH","Adam-von-Trott-Str. 7, (Charlottenburg-Nord)","Berlin","info@anesbau.de","030 33 30 60","http://www.anesbau.de"
"Bauunternehmen Torsten Krause","An der Schimmings Höhe 1, (Berthelsdorf)","Neustadt","info@bau-krause.de","03596 50 21 03","http://www.bau-krause.de/"
"Völter Torsten","Odertal 4, (Stolzenhagen)","Wandlitz","","033397 7 29 02","http://www.bauhandwerk-voelter.de"
"Buchheim Bernd Baubetrieb","Ludwig-Renn-Str. 31, (Marzahn)","Berlin","bebuchheim@aol.com","030 9 35 91 60","https://buchheim-baubetrieb-berlin.de"
"Editra-Bau GmbH","Ankogelweg 7, (Mariendorf)","Berlin","info@editra-bau-gmbh.de","030 7 96 20 85","http://www.editra-bau-gmbh.de"
"SWISSBAUEN GmbH","Friedrichstr. 95, (Mitte)","Berlin","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Heinrich Strünker GmbH","Heinrich-Strünker-Str. 8, (Hand)","Bergisch Gladbach","","02202 1 88 60","http://www.struenker.de"
"KEBOHRFOL Susanne Klame e.K.","Goepelstr. 90","Frankfurt (Oder)","","0335 6 48 60","http://www.klame-betonbearbeitung.de"
"Aepler Bau GmbH & Co. KG","Oranienburger Str. 101, (Wittenau)","Berlin","info@aepler-bau.de","030 45 80 59 20","https://www.aepler-bau.com"
"Jahn Andreas","Am Hahn 12","Merzenich","","0151 11 69 79 89","https://bauunternehmungjahn.de"
"Bauunternehmung Bernd Tichlers","","","bauunternehmung@tichlers.de","","http://www.tichlers.de"
"Pollems GmbH","Meeraner Str. 21, (Marzahn)","Berlin","info@pollems.de","030 9 81 09 70","https://www.pollems.de"
"Wiemer GmbH, Baugeschäft","Schraberg 20, (Barmen)","Wuppertal","info@bau-wiemer.de","0202 52 77 88","http://www.bau-wiemer.de"
"Bauunternehmen H & P","Altserkowitz 2","Radebeul","hoerl-bau@web.de","0351 8 38 92 21","http://www.Bau-Preis.de"
"Jens Dittrich Dachdeckermeister","Am Herrenteich 2","Hartmannsdorf","dachdeckerei-jdittrich@t-online.de","037602 62 86","https://dittrich-dach.de/"
"GS SCHENK GmbH","Siegelsdorfer Str. 55, (Burgfarrnbach)","Fürth","info@gs-schenk.de","0911 37 27 50","https://gs-schenk.de/"
"Johann Müller Baugeschäft GmbH","Untere Stadtgasse 49, (Almoshof)","Nürnberg","info@mueller-bg.de","0911 9 34 49 30","https://www.mueller-bg.de/"
"Hauswert GmbH","Hilgardstr. 8","Speyer","","06232 62 09 52","http://www.hauswert.de"
"Hubert Eberz Bau GmbH","Weidenhahner Str. 7","Freilingen","","02666 7 30 33 01","http://www.eberz-bau-gmbh.de"
"WBL LECHNER GMBH, MASSIVHAUS","Kühlweinstr. 59, (Stadtmitte)","Völklingen","","06898 50 47 05","https://www.instagram.com/wbl_lechner/"
"Dacic ZD Bau GmbH","Rheinstr. 32","Hattingen","","02324 6 86 49 56","https://www.zd-bau.de"
"MG-Projekt Bau GmbH","Königstr. 164, (Nord)","Remscheid","info@mgprojektbau.de","0176 70 64 91 11",""
"Wimmer Bau GmbH","Eßbaum 6 A, (Eßbaum)","Samerberg","","08032 84 45","https://www.baugeschaeft-wimmer.de"
"Engeln Bau GmbH | Meisterbetrieb","Greiffenklaustr. 44, (Mariahof)","Trier","","0651 9 91 70 93","http://www.engeln-bau.de"
"Schweinsteiger Bau GmbH & Co. KG","Roseggerstr. 3","Rohrdorf","","08032 70 76 55","https://www.schweinsteiger-bau.de"
"Baugeschäft Matthias Staber Inh. Ulrich Staber","Simsseestr. 48","Frasdorf","","08052 3 98","http://www.staberbau.de"
"FT Bauservice GmbH","Äußere Regensburgerstr. 41, (Nikola)","Landshut","","0176 34 20 20 69","http://www.bauservice-landshut.de"
"Hechinger Bau | Bauunternehmen","Raiffeisenstr. 4","Pfaffenhofen","","08441 8 95 10","https://hechinger-gmbh.de/"
"Potsdamer Sanierungsbau GmbH","Rubensstr. 4, (Berliner Vorstadt)","Potsdam","","0331 2 80 80-0","https://www.potsdamer-sanierungsbau.de/"
"Acd Bau Berlin GmbH","Gustav-Adolf-Str. 167","Berlin","","","https://www.acdbau-berlin.de"
"Act bau UG","Speyererstr. 19","Fußgönheim","","0157 52 52 10 10","http://"
"AM Putz GmbH","Holunderweg 12, (Riechheim)","Elleben","","036200 6 15 28","http://www.am-putz.de"
"ARKUS Bau GmbH & Co.KG","Im Mittelfelde 4, (Hochstedt)","Erfurt","","0361 7 31 88 73-0","http://www.arkusbau-erfurt.de"
"AS RAUMDESIGN","Marienstraße 32, (Innenstadt)","Fürth","","","https://www.as-raumdesign.com/"
"Bau Service Friebel","Salinenstr. 147, (Ilversgehofen)","Erfurt","","0361 7 46 78 74",""
"Baugeschäft Lemser GmbH","Lachenstr. 67B, (Uhlstädt)","Uhlstädt-Kirchhasel","","036742 6 23 01","http://www.lemser-bau.de"
"Bauhof H. GmbH","An der Erfurter Str. 13d, (Nohra)","Grammetal","","03643 82 57 55","http://www.bauhofh.de"
"Bauservice Mirko Herkt","Schwalbengasse 2 A","Bad Tennstedt","","0162 9 43 62 67","http://www.bauserviceherkt.de"
"Bauunternehmen Endres","An der Warth 8, (Eyershausen)","Bad Königshofen","","09765 2 02","http://endres-gmbh.de"
"Bucic Bau Eu","Jungenstraße 11, (Mülheim)","Mülheim-Kärlich","","0261 89 99 89 30","https://www.bucicbau.eu/"
"Christmann GmbH","Karl-Marien-Str. 17","Arnstadt","","03628 7 07 41","http://www.christmann-bau.de"
"Concept-Bau","Smetanaweg 9, (Lerchenberg)","Mainz","","0157 55 96 07 28","https://concept-bau.info/"
"Die Leger Fliesenlegermeisterbetrieb","Hauptstraße 6","Hohenlinden","","","http://"
"FixIt Hausservice & Bau Dienstleistungen","Weinstr","Siebeldingen","","","https://fixit-landau.de"
