"agency_name","address","city","email","phone_number","website"
"Bundrock GmbH Tief- und Straßenbau","Alfred-Nobel-Str. 51, (Gewerbegebiet Ost)","Grevenbroich","info@bundrock.de","02181 2 12 93 20","https://www.bundrock.de"
"Mesut Kurt MK Bauunternehmen","Kuchenheimer Str. 94","Euskirchen","info@k-bausanierung.de","0172 9 55 48 00","https://bauunternehmen-kurt.de"
"Lemmer GmbH Bauunternehmung","Erpfenzell 24, (Erpfenzell)","Falkenstein","info@lemmer-bau.de","09462 94 02-0","http://www.lemmer-bau.de"
"Bangert Bau GmbH","Elsterbuscher Weg 12, (Höhscheid)","Solingen","info@bangert-bau.de","0212 81 28 50","https://www.bangert-bau.de"
"Hans Schwarz OHG","Denkmalstr. 33 -35","Windsbach","info@baustoffschwarz.de","09871 6 72 40","https://www.baustoffschwarz.de/"
"SWISSBAUEN GMBH","Röntgenstr. 5, (Bergen-Enkheim)","Frankfurt","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Meisterbetrieb Thomas Kettelhut - Maurer- und Estricharbeiten","Salmbacher Str. 72, (Buckow)","Berlin","meister-kettelhut@web.de","030 74 10 30 15","https://www.meister-kettelhut.de"
"Bauunternehmung Kratz GmbH","Steinweg 8","Bonn","info@kratzbau.com","0228 9 62 18 00","http://www.kratzbau.com"
"Völter Torsten","Zeppelinstr. 26, (Fredersdorf-Nord)","Fredersdorf-Vogelsdorf","voelter@t-online.de","033439 7 62 05","http://www.bauhandwerk-voelter.de"
"Börsch GmbH & Co. Bauausführungen KG","Holzstr. 22, (Gesundbrunnen)","Berlin","boersch@boersch-bauausfuehrungen.de","030 4 99 89 90","http://www.boersch-bauausfuehrungen.de"
"HB Abbruch, Erd- und Wegebau Fank Schmidt","Dorfstr. 60b, (Trampe)","Breydin","helmut@britzke-abbruch.de","033451 55 79 79",""
"Orf","Giebel 33, (Vohwinkel)","Wuppertal","info@orfbau.de","0202 43 67 39","http://www.orfbau.de"
"Marcus Wüstemann","Hainleitestr. 13, (Berka)","Sondershausen","info@galabau-wuestemann.de","03632 70 01 18","https://www.galabau-wuestemann.de/"
"SBH Hoch- und Ausbau GmbH","Max-Jehn-Str. 22","Gößnitz","info@sbh-ausbau.de","034493 72 72 70","http://www.sbh-ausbau.de"
"AK Bauservice GmbH","Panoramastr. 43","Böblingen","info@ak-bauservice.com","07031 8 19 63 70","http://www.ak-bauservice.com"
"Alois Höller GmbH","Städter Weg 8","Friedberg (Hessen)","info@hoeller-bau.de","06031 69 00 90","http://www.hoeller-bau.de"
"Baugeschäft Frommwieser GmbH","Burgersdorf 1, (Burgersdorf)","Rimsting","info@frommwieser.com","08051 9 65 91 10","http://www.frommwieser.com"
"Baugesellschaft Frahm GmbH","Pappelstr. 35, (Nord)","Eggersdorf","info@frahm-bau.de","03341 31 18 00","http://www.frahm-bau.de"
"Bauunternehmung Stephan Dunker GmbH","Elisabethstr. 18B, (Frillendorf)","Essen","info@dunker-gmbh.de","0201 48 33 30","https://www.bauunternehmung-dunker.de"
"Dedi Bau GmbH","Pettensiedeler Str. 15, (Eschenau)","Eckental","info@dedibau.de","09126 2 89 90 30","https://dedibau.de/"
"e. Puschner Bauunternehmen GmbH","Untere Stefanstr. 76","Budenheim","mail@puschner-bau.de","06139 30 71 95","http://www.puschner-bau.de"
"Eddie Bässler Bauunternehmen GmbH","Rainwiesen 17, (Neckargröningen)","Remseck","baessler@baessler-bauunternehmen.de","07141 2 98 76 69","https://www.baessler-bauunternehmen.de"
