"agency_name","address","city","email","phone_number","website"
"Akzent Personaldienstleistung Mitte GmbH","Lange Laube 14","Hannover","","0511 65 53 34 22","https://www.akzent-personal.de/jobs-in-hannover"
"ProServ Produktionsservice und Personaldienste GmbH","Edouard-Michelin-Platz 1","Homburg","","06841 77 27 65",""
"Leinemonteure GmbH","Schulenburger Landstraße 128","Hannover","","0511 9 11 61 10","https://www.leinemonteure.de"
"Michael Jahnke Jürgen Kling Harry Meyer agentur wanted","Gneisenaustr. 66, (Kreuzberg)","Berlin","","030 6 95 79 80","http://www.agentur-wanted.de"
"Akzent Personaldienstleistung Mitte GmbH","Franz-Jacob-Str. 2","Berlin","","030 28 39 91 10","https://www.akzent-personal.de/jobs-in-berlin-ost"
"A. Angeli & L. Odenwald Hostessenagentur & Veranstaltungsservice","Grazer Str. 27, (Bieber)","Offenbach am Main","","069 43 05 61 50","http://www.hostess-and-more.de"
"Advised Skills","Eichborndamm / G 167","Berlin","","030 30 80 71 65","https://www.advisedskills.com/de/"
"AGENT HIRE","Höltenweg 51","Münster","","0251 59 06 46 54","https://www.agenthire.de/"
"Agile Factory","Hammfelddamm 4a","Neuss","","0177 3 97 76 63","http://agile-factory.de"
"Akzent Personaldienstleistung Mitte GmbH","Kavalierstraße 39","Dessau-Roßlau","","0340 89 98 44 10","https://www.akzent-personal.de/jobs-in-dessau"
"Akzent Personaldienstleistung Mitte GmbH","Wagner-Régeny-Straße 12","Berlin","","030 2 83 99 10","https://www.akzent-personal.de/"
"Ali Caglar Personalvermittlung","Erwin-Bosch-Ring 19","Krumbach (Schwaben)","","0162 4 12 89 07","http://www.personal-fair.de"
"Andreas Dulkies Addcon - intelligente Dienstleistungen","Komturstr. 58-62, (Tempelhof)","Berlin","","030 42 01 78 43","http://www.addcon-vermittlung.de"
"Anja Schoetensack Credoflex Personalberatung","Ernst-Thälmann-Str. 4","Schönebeck (Elbe)","","03928 4 69 84 30","http://credoflex.de"
"Arbeits-Express Management GmbH","Millerntorplatz 1, (St. Pauli)","Hamburg","","040 57 19 94 60","http://arbeits-express.de"
"Arda Industrie Service","Bahnhofstraße 25","Peine","","05171 5 40 85 29","https://www.arda-service.de"
"Armin Amiri","Berliner Str. 49, (Innenstadt)","Gütersloh","","05241 3 06 90 05","http://deutsches-fachkraefte-werk.de"
"AS-Professional GmbH","Paracelsusstr. 14, (Ramtel)","Leonberg","","07152 9 26 59 60","http://as-professional.de"
"AT&FP Performance Marketing GbR","Jurastr. 2","Zell unter Aichelberg","","07164 94 99 92-0",""
"Ayca Teber-Esener Personalvermittlung & Versicherungsvertretung","Friesenstr. 19","Erkelenz","","02162 81 70 80","http://www.ma-eventmarketing.de"
"Beatrice Berger Personalvermittlung","Sonnenblumenstr. 30","Dülmen","","02594 7 99 48 77","http://www.betreuungswelt-berger.de"
"BELUforce Personalvermittlung","Frankfurter Straße 39","Dreieich","","06103 2 07 50 00",""
"Best Job M&K GmbH","Bahnhofstr. 17","Murrhardt","","07192 2 27 89 81","http://www.bestjobmk.de"
