"email","first_name","last_name","company","city","country","title","source","category","published_at","detail_url","employer_website"
"bewerbung@stewa.de","","","STEWA Touristik GmbH","Frankfurt am Main","Germany","Reisebusfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/frankfurt-am-main/premium?id=100012410269003","https://api.relaxx.center/r/9bb624cb51ea47d8b1a317dd6d0eaebb?pid=2592881&mpid=1496205&prid=23824&tid=30"
"bewerbung@stewa.de","","","STEWA Touristik GmbH","Aschaffenburg","Germany","Reisebusfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/aschaffenburg/premium?id=100012410269002","https://api.relaxx.center/r/9bb624cb51ea47d8b1a317dd6d0eaebb?pid=2592881&mpid=1496205&prid=23824&tid=30"
"bewerbung@stewa.de","","","STEWA Touristik GmbH","Kleinostheim","Germany","Reisebusfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/kleinostheim/premium?id=100012410269001","https://api.relaxx.center/r/9bb624cb51ea47d8b1a317dd6d0eaebb?pid=2592881&mpid=1496205&prid=23824&tid=30"
"marketing@actief-personal.de","","","ACTIEF Personalmanagement GmbH","Sonneberg","Germany","Staplerfahrer / Gabelstaplerfahrer / Lagermitarbeiter (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/sonneberg/premium?id=100012548908","https://www.actief-personal.de/"
"noreply@dpdhl.com","","","Deutsche Post AG","Neu-Ulm","Germany","Lkw Fahrer - Nahverkehr (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/neu-ulm/premium?id=100012547709","https://nz8ie.app.link/portal-jobs-teaser"
"noreply@dpdhl.com","","","Deutsche Post AG","Weingarten/Württemberg","Germany","Lkw Fahrer - Nahverkehr (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/weingarten-wuerttemberg/premium?id=100012547708","https://nz8ie.app.link/portal-jobs-teaser"
"personal@ehrt.de","","","EHRT Maschinenbau GmbH & Co. KG","Rheinbreitbach","Germany","Speditionskaufmann / Export-Sachbearbeiter / kaufmännischer Mitarbeiter (m/ w/ d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/rheinbreitbach/premium?id=100012547699","https://api.relaxx.center/r/6d5ae31d64544e909872d70ae5310eee?pid=2596521&mpid=1497393&prid=1096629&tid=30"
"michael.kuba@se-huber.de","","","se Huber GmbH & Co KG","Straubing","Germany","LKW-Fahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/straubing/premium?id=100012547696","https://api.relaxx.center/r/8f9ff0b29db74998bb8043d2b81e1a9e?pid=2596089&mpid=1497295&prid=1088139&tid=30"
"bewerbung@bauunternehmung-beck.de","","","Augustin Beck GmbH & Co. KG","Memmingen","Germany","LKW-Fahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/memmingen/premium?id=100012535650","https://nz8ie.app.link/portal-jobs-teaser"
"noreply@dpdhl.com","","","Deutsche Post AG","Ansbach","Germany","Postbote für Briefe und Pakete (m/w/d) in Herrieden","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/ansbach/premium?id=100012529690","https://nz8ie.app.link/portal-jobs-teaser"
