"email","first_name","last_name","company","city","country","title","source","category","published_at","detail_url","employer_website"
"bewerbung@stewa.de","","","STEWA Touristik GmbH","Frankfurt am Main","Germany","Reisebusfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/frankfurt-am-main/premium?id=100012410269003","https://api.relaxx.center/r/9bb624cb51ea47d8b1a317dd6d0eaebb?pid=2592881&mpid=1496205&prid=23824&tid=30"
"marketing@actief-personal.de","","","ACTIEF Personalmanagement GmbH","Sonneberg","Germany","Staplerfahrer / Gabelstaplerfahrer / Lagermitarbeiter (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/sonneberg/premium?id=100012548908","https://www.actief-personal.de/"
"noreply@dpdhl.com","","","Deutsche Post AG","Neu-Ulm","Germany","Lkw Fahrer - Nahverkehr (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/neu-ulm/premium?id=100012547709","https://nz8ie.app.link/portal-jobs-teaser"
"personal@ehrt.de","","","EHRT Maschinenbau GmbH & Co. KG","Rheinbreitbach","Germany","Speditionskaufmann / Export-Sachbearbeiter / kaufmännischer Mitarbeiter (m/ w/ d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/rheinbreitbach/premium?id=100012547699","https://api.relaxx.center/r/6d5ae31d64544e909872d70ae5310eee?pid=2596521&mpid=1497393&prid=1096629&tid=30"
"michael.kuba@se-huber.de","","","se Huber GmbH & Co KG","Straubing","Germany","LKW-Fahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/straubing/premium?id=100012547696","https://api.relaxx.center/r/8f9ff0b29db74998bb8043d2b81e1a9e?pid=2596089&mpid=1497295&prid=1088139&tid=30"
"bewerbung@bauunternehmung-beck.de","","","Augustin Beck GmbH & Co. KG","Memmingen","Germany","LKW-Fahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Neu","https://jobs.meinestadt.de/memmingen/premium?id=100012535650","https://nz8ie.app.link/portal-jobs-teaser"
"karriere-kas@blutspende.de","","","DRK-Blutspendedienst Baden-Württemberg - Hessen gGmbH","Kassel","Germany","Kraftfahrer C oder CE / LKW-Fahrer Blutspende-Aktionen (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/kassel-documenta-stadt/premium?id=100012402540","https://karriere.blutspende.de/offer/kraftfahrer-c-oder-ce-lkw-fahrer-bl/be3ac471-7d90-42de-94de-c62e68a69187?showApplicationForm=true&utm_source=meinestadt&utm_medium=jobboard&utm_campaign=kraftfahrer_030626_premiumpush"
"bewerbungost@bwbm.de","","","Bw Bekleidungsmanagement GmbH","Bad Schandau","Germany","Mitarbeiter in der Aufbereitung (w/m/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/bad-schandau/premium?id=100012341797","https://www.bwbm.de/datenschutz"
"anna.weber@transgourmet.de","","","Transgourmet Deutschland GmbH & Co. OHG","Roggentin b. Rostock","Germany","Kraftfahrer (m/w/d) im Raum Rostock","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/roggentin-rostock/premium?id=100012341795","https://job.transgourmet.de/p/personalwerk/jobs/31154/apply"
"recruiting@eriks.de","","","ERIKS Deutschland GmbH","Halle/Westfalen","Germany","Logistiker (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/halle-westfalen/premium?id=100012340675","https://nz8ie.app.link/portal-jobs-teaser"
"bewerbungen@nox-nachtexpress.de","","","nox Germany GmbH","Niederaula","Germany","Tourenbetreuer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/niederaula/premium?id=100012259170","https://api.relaxx.center/r/27792b7bbc33474385570906c4de256c?pid=2589869&mpid=1495295&prid=1096939&tid=30"
"michi.raedle@gmail.com","","","Powers GmbH","Augsburg","Germany","Speditionskaufmann / Disponent (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/augsburg/premium?id=100012259161","http://www.powers.de"
"bewerbung@herkulesgroup.com","","","Maschinenfabrik Herkules Meuselwitz GmbH","Meuselwitz","Germany","Leiter Logistik (alle Geschlechter)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/meuselwitz/premium?id=100012171743","https://jobs.herkulesgroup.de/Vacancies/710/Application/New/1"
"bewerbung@wd-plus.de","","","Ganz Einfach GmbH","Hannover","Germany","Staplerfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/hannover/premium?id=100012165291","https://nz8ie.app.link/portal-jobs-teaser"
"bewerbung@heppler.de","","","Heppler Group","Spaichingen","Germany","Mitarbeiter Folgeprozesse / Nachbearbeitung (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/spaichingen/premium?id=100012162959","https://nz8ie.app.link/portal-jobs-teaser"
"karriere@hydrotechnik.de","","","Hydrotechnik GmbH","Limburg a.d. Lahn","Germany","Logistikleiter (m/w/d) - Transformation, Digitalisierung & Effizienz","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/limburg-lahn/premium?id=100012161073","https://www.hydrotechnik.com/de/"
"bewerbung@fiwarec.de","","","FiWaRec® GmbH","Föhren","Germany","Fachlagerist (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/foehren/premium?id=100012068329","https://www.fiwarec.de/de/"
"personal@ohra.de","","","OHRA Regalanlagen GmbH","Kerpen/Rhein-Erft","Germany","Lagermitarbeiter / Kommissionierer (m/w/d) Kerpen","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/kerpen-rhein-erft/premium?id=100012068314","https://www.ohra.de"
"bewerbung@ontaro.de","","","ONTARO GmbH","Köln","Germany","Mitarbeiter Lager & Logistik (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/koeln/premium?id=100011977089","https://nz8ie.app.link/portal-jobs-teaser"
"job@polytan.com","","","POLYTAN GmbH","Ahrensfelde","Germany","Disponent & LKW-Fahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/ahrensfelde/premium?id=100011939586","https://api.relaxx.center/r/92c25da7684a4220a285909215d8b817?pid=2579897&mpid=1492063&prid=23824&tid=30"
"neumann@neumann-personal.de","","","Dummer GmbH","Schwerin","Germany","Berufskraftfahrer (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/schwerin-mecklenburg/premium?id=100011936260","https://nz8ie.app.link/portal-jobs-teaser"
"bewerbung@koehra.de","","","KÖHRA - Frische GmbH","Belgershain","Germany","Fuhrparkleiter / Disponent Nahverkehr / Logistikleiter (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/belgershain/premium?id=100011933153","https://www.koehra.de/"
"boedecker@heinzundhorn.de","","","Heinz + Horn GmbH","Ramstein-Miesenbach","Germany","LKW-Fahrer (m/w/d) Klasse C - Regionale Tagestouren (Wäscheservice)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/ramstein-miesenbach/premium?id=100011927641","https://nz8ie.app.link/portal-jobs-teaser"
"bewerbung@run-24.de","","","RUN 24 GmbH","Berlin","Germany","Servicemonteur (m/w/d) in der Kanalreinigung","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/berlin/premium?id=100011696957","https://www.run-24.de/"
"personal@wilms-gruppe.de","","","WILMS Tiefkühl-Service GmbH","Niederkrüchten","Germany","Mitarbeiter Wareneingang (w/m/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/niederkruechten/premium?id=100011696948","https://www.wilms-tks.de/"
"kh@zoobedarf-hitzegrad.de","","","Hitzegrad® - Ihr BARF-Experte","Krefeld","Germany","Lagermitarbeiter (m/w/d) in Teilzeit/Vollzeit","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/krefeld/premium?id=100011695177","https://nz8ie.app.link/portal-jobs-teaser"
"bewerbung@hemstedt.de","","","Hemstedt GmbH Heizleitungen & Kühlhaustechnik","Brackenheim","Germany","Fachkraft für Lagerlogistik / Lagermitarbeiter (m/w/d)","meinestadt","Logistik, Lager & Verkehr","Aktualisiert","https://jobs.meinestadt.de/brackenheim/premium?id=100011578959","https://www.hemstedt.de"
