"hotel_name","address","city","email","phone_number","website","detail_url"
"Adriatic Wine Resort","Mokalo 6, Orebić","Orebić","info@adriatic-mikulic.hr","+38520713420","https://www.adriatic-mikulic.hr","https://www.omh.hr/hotel/adriatic-wine-resort/"
"Hotel Rotondo","Ulica Hrvatskih žrtava 53, Seget Donji Trogir","Seget Donji Trogir","info@hotelrotondo.com","+385 21 880 500","https://www.hotelrotondo.com","https://www.omh.hr/hotel/hotel-rotondo/"
"Ville Matilde","Ljudevita Gaja b.b., Vodice","Vodice","info@villematilde.com","+385 22 444 950","https://www.villematilde.com","https://www.omh.hr/hotel/ville-matilde/"
"Villa Vinka","Dračevice 12, Tučepi","Tučepi","renato.covic@st.t-com.hr","+385 21 678 380","https://www.villa-vinka.com","https://www.omh.hr/hotel/villa-vinka/"
"Villa Vilola","Umaška 2a Zambratija, Savudrija","Savudrija","villa.vilola@hi.t-com.hr","+385 52 759 940","https://www.villa-vilola.hr","https://www.omh.hr/hotel/villa-vilola/"
"Villa Valdibora","S. Chiurco 8, Rovinj","Rovinj","valdibora@email.com","+385 52 845 040","https://www.valdibora.com","https://www.omh.hr/hotel/villa-valdibora/"
"Villa Štefanija","Puntera 8d, Barban","Barban","villa@stefanija.com","+385 52 567 075","https://www.stefanija.com","https://www.omh.hr/hotel/villa-stefanija/"
"Villa Stari Dvor","Batalaža 7, Ugljan","Ugljan","staridvor@staridvor.hr","+385 23 288 688","https://www.staridvor.hr","https://www.omh.hr/hotel/villa-stari-dvor/"
"Villa Palmižana","Palmižana-Hvar, Palmižana-Hvar","Palmižana-Hvar","palmizana@palmizana.hr","+385 21 717 270","https://www.palmizana.hr","https://www.omh.hr/hotel/villa-palmizana/"
"Villa Midea","Stjepana Radića 2, Supetar","Supetar","info@villamidea.com","+385 21 756 803","https://www.villamidea.com","https://www.omh.hr/hotel/villa-midea/"
"villa Maimare","Marka Marulića 1, Biograd na Moru","Biograd na Moru","info@maimare.hr","+385 23 384 358","https://www.maimare.hr","https://www.omh.hr/hotel/villa-maimare/"
"Villa Lavandula","Kneza Trpimira 127, Trogir","Trogir","villa@villalavandula.com","+385 21 798 330","https://www.villalavandula.com","https://www.omh.hr/hotel/villa-lavandula/"
"Villa Gumonca","Mirca, Supetar","Supetar","villagumonca@email.t-com.hr","+385 21 630 237","https://www.gumonca.htnet.hr","https://www.omh.hr/hotel/villa-gumonca/"
"Villa Andrea","Kamena 46, Tučepi","Tučepi","villa-andrea@villa-andrea.info","+385 21 695 240","https://www.villa-andrea.info","https://www.omh.hr/hotel/villa-andrea/"
"Villa Ana","Hrvatskih žrtava 135, Seget donji","Seget donji","apartmani@astor.hr","+385 21 807 980","https://www.villa-ana.org","https://www.omh.hr/hotel/villa-ana/"
"Stancija Meneghetti","Stancija Menegeti 1, BALE","BALE","davorin@meneghetti.hr","+385 91 2431 600","https://www.meneghetti.info","https://www.omh.hr/hotel/stancija-meneghetti/"
"Stancija Mamu","Kurili 1, Kanfanar","Kanfanar","info@mamu.hr","+385 98 1904 811","https://www.mamu.hr","https://www.omh.hr/hotel/stancija-mamu/"
"Pansion-restaurant Gina","Put jazine 9, Tisno","Tisno","gina@gina.hr","+385 22 438 580","https://www.gina.hr","https://www.omh.hr/hotel/pansion-restaurant-gina/"
"Pansion Zlatna Ribica","Krapanjskih spužvara 46, Brodarica","Brodarica","tudic@si.htnet.hr","+385 22 350 695","https://www.zlatna-ribica.hr","https://www.omh.hr/hotel/pansion-zlatna-ribica/"
"Pansion Višnjica","Višnjica bb, Slatina","Slatina","visnjica@visnjica.hr","+385 33 401 650","https://www.visnjica.hr","https://www.omh.hr/hotel/pansion-visnjica/"
"Pansion Villa Ivona","Ulica Naputica 21, Baška Voda","Baška Voda","ivan.batinic@st.t-com.hr","+385 21 620 703","https://www.villa-ivona.com","https://www.omh.hr/hotel/pansion-villa-ivona/"
"Pansion Tramontana","Beli 2, Beli","Beli","dunja@beli-tramontana.com","+385 51 840 519","https://www.beli-tramontana.com","https://www.omh.hr/hotel/pansion-tramontana/"
"Pansion Tamaris","Palit 285, Rab","Rab","info@tamaris-rab.com","+385 51 724 925","https://www.tamaris-rab.com","https://www.omh.hr/hotel/pansion-tamaris/"
"Pansion Sunce","G.Vala 8, Drvenik","Drvenik","apecar@msn.com","+385 21 628 096","https://www.holiday.hr/Sunce.htm","https://www.omh.hr/hotel/pansion-sunce/"
"Pansion Sidro","Duće - Golubinka 35, Omiš","Omiš","sidro@email.t-com.hr","+385 21 734 066","https://www.dalmatianet.com/sidro","https://www.omh.hr/hotel/pansion-sidro/"
"Pansion Senator","Bartola Kašića 9, Podstrana","Podstrana","split.senator@gmx.net","+385 21 335 333","https://www.senator-st.com","https://www.omh.hr/hotel/pansion-senator/"
"Pansion Pitomcia","Sv. Martin 158, Podstrana","Podstrana","pansionpitomcia@email.t-com.hr","+385 21 330 207","https://www.pitomcia.com","https://www.omh.hr/hotel/pansion-pitomcia/"
